VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,3/21/2015 0:12,3/21/2015 0:26,2,3.87,-74.01002502,40.72071838,1,N,-73.98965454,40.75767136,2,14,0.5,0.5,0,0,0.3,15.3
2,3/21/2015 0:12,3/21/2015 0:15,1,1.19,-73.98792267,40.75479889,1,N,-73.99854279,40.74028778,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,3/21/2015 0:12,3/21/2015 0:17,2,0.95,-73.96283722,40.71726227,1,N,-73.95202637,40.72531128,1,5.5,0.5,0.5,1.7,0,0.3,8.5
2,3/21/2015 0:12,3/21/2015 0:28,1,8.8,-73.87506104,40.77402115,1,N,-73.98368073,40.73809052,1,25,0.5,0.5,6.33,5.33,0.3,37.96
2,3/21/2015 0:12,3/21/2015 0:24,1,2.65,-74.00994873,40.72976685,1,N,-73.97788239,40.73906708,1,11,0.5,0.5,2,0,0.3,14.3
2,3/21/2015 0:12,3/21/2015 0:23,1,2.36,-73.97734833,40.78464508,1,N,-73.99345398,40.75709915,1,10,0.5,0.5,2.26,0,0.3,13.56
2,3/21/2015 0:12,3/21/2015 0:20,1,0.81,-73.97156525,40.76241684,1,N,-73.98072815,40.76400375,1,7,0.5,0.5,0,0,0.3,8.3
2,3/21/2015 0:12,3/21/2015 0:35,1,4.28,-73.97793579,40.7460556,1,N,-73.91984558,40.7425766,1,17,0.5,0.5,3.66,0,0.3,21.96
2,3/21/2015 0:12,3/21/2015 0:16,4,1.14,-73.96852112,40.75492096,1,N,-73.9763031,40.74171829,2,5.5,0.5,0.5,0,0,0.3,6.8
2,3/21/2015 0:12,3/21/2015 0:30,4,6.96,-73.99397278,40.75144958,1,N,-73.95098877,40.82761002,1,22,0.5,0.5,4.66,0,0.3,27.96
2,3/21/2015 0:12,3/21/2015 0:28,6,5.36,-74.00737,40.74088669,1,N,-73.95694733,40.80015564,2,17,0.5,0.5,0,0,0.3,18.3
2,3/21/2015 0:12,3/21/2015 0:24,1,2.04,-73.98889923,40.73669815,1,N,-73.97042847,40.76059341,1,10.5,0.5,0.5,2.36,0,0.3,14.16
1,3/30/2015 21:45,3/30/2015 21:56,1,2.1,-73.97740936,40.75712967,1,N,-73.95253754,40.76649475,2,9.5,0.5,0.5,0,0,0.3,10.8
1,3/30/2015 21:45,3/30/2015 21:50,2,0.9,-73.98966217,40.75646591,1,N,-73.99021912,40.76675415,2,5.5,0.5,0.5,0,0,0.3,6.8
1,3/30/2015 21:45,3/30/2015 22:04,1,3.8,-73.97827911,40.75177765,1,N,-73.9333725,40.76041794,1,16,0.5,0.5,3.46,0,0.3,20.76
1,3/30/2015 21:45,3/30/2015 21:51,1,1.2,-73.97551727,40.75237274,1,N,-73.9627533,40.75708008,1,6.5,0.5,0.5,0.78,0,0.3,8.58
1,3/30/2015 21:45,3/30/2015 21:49,1,0.9,-73.98651886,40.7399826,1,N,-73.97840881,40.75133514,1,5.5,0.5,0.5,1.36,0,0.3,8.16
1,3/30/2015 21:45,3/30/2015 21:51,2,1.2,-74.00453949,40.75227356,1,N,-73.99385071,40.74152756,1,6.5,0.5,0.5,1,0,0.3,8.8
1,3/30/2015 21:45,3/30/2015 22:17,1,12.7,-74.00509644,40.71892166,1,N,-73.83843994,40.71554565,1,38.5,0.5,0.5,7.95,0,0.3,47.75
1,3/30/2015 21:45,3/30/2015 21:47,1,0.6,-73.97278595,40.74932098,1,N,-73.97857666,40.74111176,1,4,0.5,0.5,1,0,0.3,6.3
1,3/30/2015 21:45,3/30/2015 21:50,1,1.9,-73.97734833,40.78461456,1,N,-73.95742798,40.80203247,1,7,0.5,0.5,1,0,0.3,9.3
1,3/30/2015 21:45,3/30/2015 21:49,1,0.3,-73.97648621,40.74774551,1,N,-73.98213959,40.74997711,3,4,0.5,0.5,0,0,0.3,5.3
1,3/30/2015 21:45,3/30/2015 21:50,1,1,-73.98375702,40.75300217,1,N,-73.99102783,40.74390411,1,5.5,0.5,0.5,1.35,0,0.3,8.15
1,3/30/2015 21:45,3/30/2015 21:53,1,1.2,-73.97606659,40.75421906,1,N,-73.96020508,40.76192856,1,7,0.5,0.5,1.65,0,0.3,9.95
1,3/30/2015 21:45,3/30/2015 21:55,1,2.1,-74.00413513,40.74283981,1,N,-73.9959259,40.71888733,1,9,0.5,0.5,1.5,0,0.3,11.8
1,3/30/2015 21:45,3/30/2015 21:51,1,1.5,-73.98078156,40.75886154,1,N,-74.00276947,40.76058578,1,6.5,0.5,0.5,2.3,0,0.3,10.1
1,3/30/2015 21:45,3/30/2015 22:15,1,8.6,-73.99394989,40.75651169,1,N,-73.99393463,40.69302368,1,28.5,0.5,0.5,5.95,0,0.3,35.75
1,3/30/2015 21:45,3/30/2015 21:56,3,3.9,-73.96025848,40.77384567,1,N,-73.92819214,40.80973053,1,12.5,0.5,0.5,2,0,0.3,15.8
1,3/30/2015 21:45,3/30/2015 21:50,1,1,-73.98176575,40.76298523,1,N,-73.99383545,40.75640106,2,5.5,0.5,0.5,0,0,0.3,6.8
1,3/30/2015 21:45,3/30/2015 21:58,1,3.2,-73.96099091,40.6504364,1,N,-73.94974518,40.67771149,2,12.5,0.5,0.5,0,0,0.3,13.8
1,3/30/2015 21:45,3/30/2015 21:59,1,3.2,-73.97660828,40.75600052,1,N,-73.97937012,40.7818718,1,12.5,0.5,0.5,3.45,0,0.3,17.25
1,3/30/2015 21:45,3/30/2015 21:56,1,1.3,0,0,1,N,0,0,1,8.5,0.5,0.5,1,0,0.3,10.8
1,3/30/2015 21:45,3/30/2015 21:50,1,0.7,-73.98316956,40.77116776,1,N,-73.97649384,40.77640915,2,5.5,0.5,0.5,0,0,0.3,6.8
1,3/30/2015 21:45,3/30/2015 21:58,1,2.3,-73.98364258,40.73838425,1,N,-73.96118927,40.76690292,1,10.5,0.5,0.5,1.2,0,0.3,13
2,3/13/2015 7:32,3/13/2015 7:57,1,7.58,-73.9384613,40.85105896,1,N,-74.00122833,40.75717163,1,25.5,0,0.5,5.26,0,0.3,31.56
2,3/4/2015 15:11,3/4/2015 15:34,2,1.77,-73.99411011,40.7410965,1,N,-73.97763824,40.76276398,1,14.5,0,0.5,3.06,0,0.3,18.36
2,3/4/2015 15:11,3/4/2015 15:20,5,1.84,-73.95304108,40.80263138,1,N,-73.97227478,40.78635025,1,8.5,0,0.5,2.79,0,0.3,12.09
2,3/4/2015 15:11,3/4/2015 15:22,1,1.55,-73.96948242,40.7592659,1,N,-73.95433807,40.76995087,2,8.5,0,0.5,0,0,0.3,9.3
2,3/4/2015 15:11,3/4/2015 15:35,1,1.84,-73.95627594,40.77127838,1,N,-73.96775818,40.75589752,2,14.5,0,0.5,0,0,0.3,15.3
2,3/4/2015 15:11,3/4/2015 15:26,1,2.66,-73.98903656,40.74214554,1,N,-74.00553131,40.71134567,1,11.5,0,0.5,2.7,0,0.3,15
2,3/4/2015 15:11,3/4/2015 15:25,3,1.31,-73.95456696,40.77798843,1,N,-73.95558929,40.77614975,1,9.5,0,0.5,2.06,0,0.3,12.36
2,3/4/2015 15:11,3/4/2015 15:24,1,1.14,-73.90377045,40.77125168,1,N,-73.91726685,40.76496887,2,9,0,0.5,0,0,0.3,9.8
2,3/13/2015 7:32,3/13/2015 7:46,1,1.84,-73.95494843,40.76929092,1,N,-73.97251892,40.74951935,1,10.5,0,0.5,2,0,0.3,13.3
2,3/13/2015 7:32,3/13/2015 7:42,1,2.08,-73.98519135,40.7358284,1,N,-73.9650116,40.76026154,2,9.5,0,0.5,0,0,0.3,10.3
2,3/13/2015 7:32,3/13/2015 8:28,1,17.78,-74.00470734,40.72561646,2,N,-73.78691864,40.64719772,1,52,0,0.5,3.2,0,0.3,56
2,3/13/2015 7:32,3/13/2015 7:41,1,1.72,-73.98098755,40.74290848,1,N,-73.97006989,40.76239014,1,8.5,0,0.5,1.86,0,0.3,11.16
2,3/13/2015 7:32,3/13/2015 7:49,1,3.76,-73.99575806,40.74902725,1,N,-73.95675659,40.78334045,1,14,0,0.5,4.44,0,0.3,19.24
2,3/13/2015 7:32,3/13/2015 7:50,6,5.48,-73.94696808,40.78084183,1,N,-73.93473816,40.85057068,1,19.5,0,0.5,3,0,0.3,23.3
2,3/13/2015 7:32,3/13/2015 7:39,6,1.22,-73.95953369,40.7802887,1,N,-73.97827911,40.78847504,2,7,0,0.5,0,0,0.3,7.8
2,3/13/2015 7:32,3/13/2015 7:43,1,1.25,-73.95744324,40.78585815,1,N,-73.96601105,40.78995895,1,8,0,0.5,1.76,0,0.3,10.56
2,3/13/2015 7:32,3/13/2015 7:46,1,2.53,-73.98997498,40.73348236,1,N,-73.9868927,40.76180267,1,11,0,0.5,1.5,0,0.3,13.3
2,3/13/2015 7:32,3/13/2015 7:36,1,1.05,-74.00391388,40.73179245,1,N,-74.00978851,40.7201004,1,5.5,0,0.5,1.26,0,0.3,7.56
2,3/13/2015 7:32,3/13/2015 7:41,1,2.6,-73.95567322,40.77196121,1,N,-73.97325134,40.74386978,1,10,0,0.5,2.16,0,0.3,12.96
2,3/13/2015 7:32,3/13/2015 7:39,1,1.28,-73.98633575,40.74031067,1,N,-73.99338531,40.75223541,2,7,0,0.5,0,0,0.3,7.8
2,3/13/2015 7:32,3/13/2015 7:35,1,0.57,-73.97707367,40.75609589,1,N,-73.97973633,40.76143265,1,4,0,0.5,0.96,0,0.3,5.76
2,3/13/2015 7:32,3/13/2015 7:41,1,1.8,-73.98275757,40.74209595,1,N,-74.00038147,40.72211075,1,8,0,0.5,2.2,0,0.3,11
2,3/13/2015 7:32,3/13/2015 7:39,1,1.22,-73.96931458,40.75775528,1,N,-73.95549774,40.76440811,1,6.5,0,0.5,1.5,0,0.3,8.8
2,3/13/2015 7:32,3/13/2015 7:36,2,0.68,-73.97882843,40.75315857,1,N,-73.98753357,40.75191879,1,4.5,0,0.5,1.06,0,0.3,6.36
2,3/13/2015 7:32,3/13/2015 7:51,1,4.6,-73.94966125,40.77223206,1,N,-73.94682312,40.82496643,1,18,0,0.5,3,0,0.3,21.8
2,3/13/2015 7:32,3/13/2015 7:40,1,1.4,-73.98735046,40.73997116,1,N,-73.97561646,40.75609207,1,7.5,0,0.5,1.66,0,0.3,9.96
2,3/13/2015 7:32,3/13/2015 7:41,1,1.05,-73.95758057,40.76863861,1,N,-73.95807648,40.77962112,1,7.5,0,0.5,1.24,0,0.3,9.54
2,3/13/2015 7:32,3/13/2015 7:35,2,0.52,-73.99754333,40.72588348,1,N,-74.00530243,40.72862625,2,4,0,0.5,0,0,0.3,4.8
1,3/30/2015 22:40,3/30/2015 23:04,1,7.1,-73.96421051,40.80804062,1,N,-73.98175049,40.73674774,1,24.5,0.5,0.5,8,0,0.3,33.8
1,3/30/2015 22:40,3/30/2015 22:50,3,1.5,-73.96579742,40.75830841,1,N,-73.98173523,40.76749802,1,8.5,0.5,0.5,2,0,0.3,11.8
1,3/30/2015 22:40,3/30/2015 23:15,1,8.2,-73.97783661,40.76629257,1,N,-73.94540405,40.68160629,1,29.5,0.5,0.5,6.16,0,0.3,36.96
